city_ascii,state_id,state_name,county_name,population,density,timezone
Hattiesburg,MS,Mississippi,Forrest,80138,331,America/Chicago
Alexandria,LA,Louisiana,Rapides,80129,625,America/Chicago
Lawrence,MA,Massachusetts,Essex,80028,4458,America/New_York
Florence,AL,Alabama,Lauderdale,79964,594,America/Chicago
Valdosta,GA,Georgia,Lowndes,79820,606,America/New_York
Plymouth,MN,Minnesota,Hennepin,79768,941,America/Chicago
Silver Spring,MD,Maryland,Montgomery,79750,3905,America/New_York
Buckeye,AZ,Arizona,Maricopa,79620,78,America/Phoenix
Georgetown,TX,Texas,Williamson,79604,560,America/Chicago
Cheyenne,WY,Wyoming,Laramie,79484,771,America/Denver
Cedar Park,TX,Texas,Williamson,79462,1207,America/Chicago
Kokomo,IN,Indiana,Howard,79351,610,America/Indiana/Indianapolis
Tustin,CA,California,Orange,79348,2755,America/Los_Angeles
Lakewood,CA,California,Los Angeles,79307,3253,America/Los_Angeles
Perris,CA,California,Riverside,79291,970,America/Los_Angeles
Saint Joseph,MO,Missouri,Buchanan,79161,656,America/Chicago
Flower Mound,TX,Texas,Denton,79135,728,America/Chicago
Pharr,TX,Texas,Hidalgo,79112,1292,America/Chicago
Atascocita,TX,Texas,Harris,79019,1279,America/Chicago
Alton,IL,Illinois,Madison,78905,652,America/Chicago
Loveland,CO,Colorado,Larimer,78877,885,America/Denver
Boynton Beach,FL,Florida,Palm Beach,78679,1880,America/New_York
New Rochelle,NY,New York,Westchester,78557,2930,America/New_York
Anderson,SC,South Carolina,Anderson,78512,736,America/New_York
Lebanon,PA,Pennsylvania,Lebanon,78302,2397,America/New_York
Parma,OH,Ohio,Cuyahoga,78103,1506,America/New_York
Layton,UT,Utah,Davis,78014,1339,America/Denver
Elizabethtown,KY,Kentucky,Hardin,78002,437,America/New_York
Texarkana,TX,Texas,Bowie,77964,482,America/Chicago
Alameda,CA,California,Alameda,77624,2868,America/Los_Angeles
The Villages,FL,Florida,Sumter,77609,956,America/New_York
